uf_busca,cidade_busca,universidade_nome,campus_nome,nome,grau,turno,mensalidade,bolsa_integral_cotas,bolsa_integral_ampla,bolsa_parcial_cotas,bolsa_parcial_ampla,nota_integral_ampla,nota_integral_cotas,nota_parcial_ampla,nota_parcial_cotas
SP,Sao Jose dos Campos,Universidade do Vale do Paraíba - UNIVAP,SÃO JOSÉ DOS CAMPOS (SEDE) - Urbanova,História,Licenciatura,Noturno,742.50,2,4,,,619.08,584.86,,
SP,Sao Jose dos Campos,Universidade do Vale do Paraíba - UNIVAP,SÃO JOSÉ DOS CAMPOS (SEDE) - Urbanova,Jornalismo,Bacharelado,Noturno,1381.00,1,1,,2,686.18,628.96,637.00,
SP,Sao Jose dos Campos,Centro Universitário Internacional - Uninter - UNINTER,PAP SÃO JOSÉ DOS CAMPOS (ITS) - Vila Adyana,Letras,Licenciatura,Curso a Distância,299.00,,,,1,,,586.78,
SP,Sao Jose dos Campos,Centro Universitário Estácio de Ribeirão Preto - Estácio Ribeirão Pre - ESTÁCIO RIBEIRÃO PRE,EAD SÃO JOSÉ DOS CAMPOS - SP - Centro,Letras - Inglês,Licenciatura,Curso a Distância,327.14,0,1,,,618.92,,,
SP,Sao Jose dos Campos,Centro Universitário Estácio de Ribeirão Preto - Estácio Ribeirão Pre - ESTÁCIO RIBEIRÃO PRE,EAD SÃO JOSÉ DOS CAMPOS - SP - Centro,Letras - Português,Licenciatura,Curso a Distância,327.14,0,1,,,542.56,,,
SP,Sao Jose dos Campos,Faculdade Educacional da Lapa - FAEL,SP - SÃO JOSÉ DOS CAMPOS - POLO EAD - Vila Igualdade,Letras - Português e Espanhol,Licenciatura,Curso a Distância,325.00,0,1,,,583.40,,,
SP,Sao Jose dos Campos,Centro Universitário Claretiano - Ceuclar - CEUCLAR,POLO CLARETIANO DE SÃO JOSÉ DOS CAMPOS - Jardim Esplanada,Letras - Português e Inglês,Licenciatura,Curso a Distância,299.00,0,1,,,598.54,,,
SP,Sao Jose dos Campos,Universidade Cidade de São Paulo - UNICID,EDUCARE APOIO TÉCNICO E PEDAGÓGICO LTDA ME (EDUCARE) - Vila Dayana,Letras - Português e Inglês,Licenciatura,Curso a Distância,270.28,0,1,1,2,598.88,,555.28,586.16
SP,Sao Jose dos Campos,Universidade Paulista - UNIP,SÃO JOSÉ DOS CAMPOS - Jardim Limoeiro,Letras - Português e Inglês,Licenciatura,Curso a Distância,299.00,0,1,,,599.54,,,
SP,Sao Jose dos Campos,Centro Universitário Claretiano - Ceuclar - CEUCLAR,POLO CLARETIANO DE SÃO JOSÉ DOS CAMPOS - Jardim Esplanada,Logística,Tecnológico,Curso a Distância,299.00,0,1,,,516.42,,,
