uf_busca,cidade_busca,universidade_nome,campus_nome,nome,grau,turno,mensalidade,bolsa_integral_cotas,bolsa_integral_ampla,bolsa_parcial_cotas,bolsa_parcial_ampla,nota_integral_ampla,nota_integral_cotas,nota_parcial_ampla,nota_parcial_cotas
SP,Sao Jose dos Campos,Universidade Paulista - UNIP,SÃO JOSÉ DOS CAMPOS - Jardim Limoeiro,Engenharia de Computação,Bacharelado,Noturno,1242.60,3,5,,,619.88,606.54,,
SP,Sao Jose dos Campos,Universidade Paulista - UNIP,SÃO JOSÉ DOS CAMPOS - Jardim Limoeiro,Engenharia de Computação,Bacharelado,Matutino,1080.24,1,2,,,633.24,623.54,,
SP,Sao Jose dos Campos,Universidade Paulista - UNIP,SÃO JOSÉ DOS CAMPOS - Jardim Limoeiro,Engenharia de Controle e Automação,Bacharelado,Matutino,1080.24,0,1,,,653.90,,,
SP,Sao Jose dos Campos,Universidade Paulista - UNIP,SÃO JOSÉ DOS CAMPOS - Jardim Limoeiro,Engenharia de Petróleo,Bacharelado,Noturno,1242.60,1,2,,,602.80,571.38,,
SP,Sao Jose dos Campos,Universidade Paulista - UNIP,SÃO JOSÉ DOS CAMPOS - Jardim Limoeiro,Engenharia de Petróleo,Bacharelado,Matutino,1080.24,1,2,,,606.42,599.22,,
SP,Sao Jose dos Campos,Centro Universitário Internacional - Uninter - UNINTER,PAP SÃO JOSÉ DOS CAMPOS (ITS) - Vila Adyana,Engenharia de Produção,Bacharelado,Curso a Distância,505.00,,,,1,,,569.22,
SP,Sao Jose dos Campos,Faculdade de Tecnologia de São José dos Campos - ETEP,ETEP ESPLANADA - Jardim Esplanada,Engenharia de Produção,Bacharelado,Matutino,899.00,1,1,,,672.32,589.10,,
SP,Sao Jose dos Campos,Universidade Cidade de São Paulo - UNICID,EDUCARE APOIO TÉCNICO E PEDAGÓGICO LTDA ME (EDUCARE) - Vila Dayana,Engenharia de Produção,Bacharelado,Curso a Distância,439.79,1,1,1,3,589.14,593.84,556.16,450.00
SP,Sao Jose dos Campos,Universidade do Vale do Paraíba - UNIVAP,SÃO JOSÉ DOS CAMPOS (SEDE) - Urbanova,Engenharia de Produção,Bacharelado,Matutino,1498.00,1,1,,2,640.54,606.00,585.06,
SP,Sao Jose dos Campos,Universidade do Vale do Paraíba - UNIVAP,SÃO JOSÉ DOS CAMPOS (SEDE) - Urbanova,Engenharia de Produção,Bacharelado,Noturno,1498.00,1,3,,,638.86,631.38,,
SP,Sao Jose dos Campos,Universidade Paulista - UNIP,SÃO JOSÉ DOS CAMPOS - Jardim Limoeiro,Engenharia de Produção Mecânica,Bacharelado,Noturno,1242.60,3,5,,,614.94,589.62,,
SP,Sao Jose dos Campos,Universidade Paulista - UNIP,SÃO JOSÉ DOS CAMPOS - Jardim Limoeiro,Engenharia de Produção Mecânica,Bacharelado,Matutino,1080.24,1,2,,,607.50,503.16,,
SP,Sao Jose dos Campos,Centro Universitário Internacional - Uninter - UNINTER,PAP SÃO JOSÉ DOS CAMPOS (ITS) - Vila Adyana,Engenharia Elétrica,Bacharelado,Curso a Distância,659.00,,,,1,,,614.88,
SP,Sao Jose dos Campos,Universidade do Vale do Paraíba - UNIVAP,SÃO JOSÉ DOS CAMPOS (SEDE) - Urbanova,Engenharia Elétrica,Bacharelado,Matutino,1498.00,0,1,,,630.36,,,
SP,Sao Jose dos Campos,Universidade Paulista - UNIP,SÃO JOSÉ DOS CAMPOS - Jardim Limoeiro,Engenharia Elétrica,Bacharelado,Noturno,1242.60,1,1,,,646.10,639.78,,
SP,Sao Jose dos Campos,Faculdade Anhangüera de São José,UNIDADE SEDE - Bairro Comprido,Engenharia Mecânica,Bacharelado,Noturno,1038.00,2,4,,,602.16,583.30,,
SP,Sao Jose dos Campos,Faculdade Anhangüera de São José,UNIDADE SEDE - Bairro Comprido,Engenharia Mecânica,Bacharelado,Matutino,948.00,1,2,,,592.80,592.30,,
SP,Sao Jose dos Campos,Universidade Paulista - UNIP,SÃO JOSÉ DOS CAMPOS - Jardim Limoeiro,Engenharia Mecânica,Bacharelado,Noturno,1242.60,3,5,,,623.10,622.36,,
SP,Sao Jose dos Campos,Universidade Paulista - UNIP,SÃO JOSÉ DOS CAMPOS - Jardim Limoeiro,Engenharia Mecânica,Bacharelado,Matutino,1080.24,1,2,,,630.90,603.34,,
SP,Sao Jose dos Campos,Universidade do Vale do Paraíba - UNIVAP,SÃO JOSÉ DOS CAMPOS (SEDE) - Urbanova,Engenharia Química,Bacharelado,Matutino,1498.00,0,1,,,681.36,,,
SP,Sao Jose dos Campos,Universidade do Vale do Paraíba - UNIVAP,SÃO JOSÉ DOS CAMPOS (SEDE) - Urbanova,Engenharia Química,Bacharelado,Noturno,1498.00,2,5,,,649.36,621.92,,
SP,Sao Jose dos Campos,Universidade do Vale do Paraíba - UNIVAP,SÃO JOSÉ DOS CAMPOS (SEDE) - Urbanova,Estética,Bacharelado,Matutino,723.00,0,1,,2,645.44,,587.02,
SP,Sao Jose dos Campos,Faculdade Anhangüera de São José,UNIDADE SEDE - Bairro Comprido,Farmácia,Bacharelado,Noturno,908.00,2,5,,,589.56,542.58,,
SP,Sao Jose dos Campos,Universidade Paulista - UNIP,SÃO JOSÉ DOS CAMPOS - Jardim Limoeiro,Farmácia,Bacharelado,Noturno,1242.60,0,1,,,610.08,,,
SP,Sao Jose dos Campos,Universidade Paulista - UNIP,SÃO JOSÉ DOS CAMPOS - Jardim Limoeiro,Farmácia,Bacharelado,Matutino,1080.24,1,2,,,627.28,587.76,,
SP,Sao Jose dos Campos,Centro Universitário Claretiano - Ceuclar - CEUCLAR,POLO CLARETIANO DE SÃO JOSÉ DOS CAMPOS - Jardim Esplanada,Filosofia,Licenciatura,Curso a Distância,299.00,1,1,,,529.64,581.12,,
SP,Sao Jose dos Campos,Centro Universitário Claretiano - Ceuclar - CEUCLAR,POLO CLARETIANO DE SÃO JOSÉ DOS CAMPOS - Jardim Esplanada,Filosofia,Bacharelado,Curso a Distância,299.00,0,1,,,616.12,,,
SP,Sao Jose dos Campos,Centro Universitário Internacional - Uninter - UNINTER,PAP SÃO JOSÉ DOS CAMPOS (ITS) - Vila Adyana,Filosofia,Licenciatura,Curso a Distância,237.00,0,1,,,581.54,,,
